video_file,camera_file,frame_count,mobile_cell_count,stationary_cell_count,total_cells,motility_ratio,count_date_yyyy_mm_dd,start_date_yyyy_mm_dd,species,site,culture,experiment,well,days_from_start,toxin_exposure,cu_ug_l,ntu,tile,tile_count,lux_exposure,comment,collection_date,year,season,collection_site,preparation,release,non_mobile_count,video_file_name,experiment_chr,experiment_block,experiment_suffix,species_std,spm_material,brake_type,brake_class,log_ntu,lux_f
C1831,20241231_C1831_clip.MP4,504,35837,54541,90378,0.3965234902299232,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24241,8,KAOLINITE,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,54541,C1831,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1832,20241231_C1832_clip.MP4,504,35760,56156,91916,0.38905087253579357,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24242,8,KAOLINITE,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,56156,C1832,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1833,20241231_C1833_clip.MP4,504,40311,62672,102983,0.3914335375741627,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24243,8,KAOLINITE,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,62672,C1833,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1834,20241231_C1834_clip.MP4,504,36376,54924,91300,0.39842278203723985,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24244,8,GRAPHITE,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,54924,C1834,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1835,20241231_C1835_clip.MP4,504,38298,56961,95259,0.40204075205492396,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24245,8,GRAPHITE,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,56961,C1835,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1836,20241231_C1836_clip.MP4,504,38484,58527,97011,0.39669728175155394,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24246,8,GRAPHITE,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,58527,C1836,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1838,20241231_C1838_clip.MP4,504,34691,53656,88347,0.39266754954893773,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24251,8,SAND,0,100,none,NA,0,SZ's,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,53656,C1838,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1839,20241231_C1839_clip.MP4,504,40156,66571,106727,0.37624968377261614,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24252,8,SAND,0,100,none,NA,0,Bottom sample?/lack of movement,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,66571,C1839,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1840,20241231_C1840_clip.MP4,504,35217,61428,96645,0.3643954679497129,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24253,8,SAND,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,61428,C1840,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
C1841,20241231_C1841_clip.MP4,504,35309,62038,97347,0.3627127697823251,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24254,8,PLASTER OF PARIS,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,62038,C1841,10.2,10,2,L. digitata,Mineral / inert,NA,NA,2.0043213737826426,0
