Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,
Sample,28/08/2023 11:05,23,,,12172372,18.552662,3619725,1.182144,0.5997,-80.190002,0.48163,,2.395633,,0.96326,
Sample,28/08/2023 11:05,23,,,12172399,18.552354,3609721,1.178852,0.5899,-79.259995,0.473571,,2.356505,,0.947142,
Sample,28/08/2023 11:05,23,,,12172384,18.552525,3629186,1.185257,0.8743,-79.25,0.707445,,2.432534,,1.414891,
Sample,28/08/2023 11:05,23,,,12172464,18.551612,3655396,1.193883,0.7678,-83.740005,0.619866,,2.534274,,1.239732,
Sample,28/08/2023 11:05,23,,,12172555,18.550573,3651844,1.192714,0.6083,-81.970001,0.488702,,2.520527,,0.977404,
Sample,28/08/2023 11:05,23,,,12172615,18.549889,3657530,1.194585,0.6797,-80.419998,0.547417,,2.542528,,1.094835,
Sample,28/08/2023 11:05,23,,,12172623,18.549797,3653514,1.193263,0.6623,-81,0.533109,,2.526992,,1.066217,
Sample,28/08/2023 11:05,23,,,12172647,18.549524,3669619,1.198564,1.1216,-79.090004,0.910811,,2.5892,,1.821622,
Sample,28/08/2023 11:05,23,,,12172694,18.548987,3681932,1.202616,0.5089,-80.889999,0.406961,,2.636599,,0.813922,
Sample,28/08/2023 11:05,23,,,12172726,18.548622,3693549,1.20644,0.7272,-79.990005,0.586479,,2.681195,,1.172957,
Sample,28/08/2023 11:05,23,,,12172788,18.547915,3695641,1.207128,0.85,-79.440002,0.687463,,2.689214,,1.374925,
Sample,28/08/2023 11:05,23,,,12172802,18.547755,3698606,1.208104,0.7362,-81.270004,0.59388,,2.700572,,1.18776,
Sample,28/08/2023 11:05,23,,,12172812,18.547641,3712342,1.212625,0.5925,-80.940002,0.475709,,2.753097,,0.951418,
Sample,28/08/2023 11:05,23,,,12172828,18.547458,3720603,1.215344,0.5749,-81.150002,0.461236,,2.784614,,0.922471,
Sample,28/08/2023 11:05,23,,,12172837,18.547355,3719443,1.214963,0.592,-79.330002,0.475298,,2.780191,,0.950595,
Sample,28/08/2023 11:05,23,9312186,5.107274,12172817,18.547584,3722759,1.216054,0.7704,-79.879997,0.622004,,2.79283,,1.244008,
Sample,28/08/2023 11:05,23,,,12172760,18.548234,3747594,1.224229,0.7157,-80.540001,0.577022,,2.887224,,1.154043,
Sample,28/08/2023 11:06,23,,,12172672,18.549238,3741232,1.222135,0.5365,-81.080002,0.429658,,2.863086,,0.859315,
Sample,28/08/2023 11:06,23,,,12172664,18.54933,3766895,1.230583,0.5669,-80.690002,0.454657,,2.960278,,0.909314,
Sample,28/08/2023 11:06,23,,,12172699,18.54893,3765412,1.230095,0.9098,-80.099998,0.736639,,2.954674,,1.473277,
Sample,28/08/2023 11:06,23,,,12172749,18.54836,3796928,1.24047,0.7092,-80.190002,0.571676,,3.073463,,1.143353,
Sample,28/08/2023 11:06,23,,,12172799,18.547789,3794116,1.239545,0.7151,-81.400002,0.576528,,3.062889,,1.153057,
Sample,28/08/2023 11:06,23,,,12172849,18.547218,3799075,1.241177,0.7166,-80.68,0.577762,,3.081532,,1.155524,
Sample,28/08/2023 11:06,23,,,12172900,18.546637,3805222,1.243201,1.0327,-80.870003,0.837705,,3.104621,,1.675409,
Sample,28/08/2023 11:06,23,,,12172916,18.546454,3822696,1.248954,0.5722,-80.959999,0.459015,,3.170133,,0.918031,
Sample,28/08/2023 11:06,23,,,12172964,18.545906,3820333,1.248176,0.6883,-79.150002,0.554489,,3.161284,,1.108979,
Sample,28/08/2023 11:06,23,,,12172967,18.545872,3857599,1.260447,0.8827,-79.409996,0.714353,,3.30048,,1.428706,
Sample,28/08/2023 11:06,23,,,12172987,18.545644,3819290,1.247833,0.6315,-79.490005,0.50778,,3.157377,,1.015561,
Sample,28/08/2023 11:06,23,,,12172997,18.54553,3854654,1.259477,0.7367,-81.199997,0.594291,,3.289507,,1.188582,
Sample,28/08/2023 11:06,23,,,12173003,18.545461,3880620,1.268027,0.7234,-80.909996,0.583354,,3.38611,,1.166708,
Sample,28/08/2023 11:06,23,,,12173004,18.54545,3863593,1.262421,0.9837,-81.240005,0.79741,,3.322801,,1.59482,
Sample,28/08/2023 11:06,23,,,12173021,18.545256,3877505,1.267002,0.5706,-79.990005,0.4577,,3.374539,,0.915399,
Sample,28/08/2023 11:06,23,,,12173022,18.545244,3877903,1.267133,0.7748,-80.949997,0.625622,,3.376018,,1.251244,
Sample,28/08/2023 11:06,23,,,12173028,18.545176,3897374,1.273545,1.0671,-80.550003,0.865993,,3.448269,,1.731987,
Sample,28/08/2023 11:06,23,,,12173025,18.54521,3881426,1.268293,0.8035,-81.659996,0.649224,,3.389104,,1.298447,
Sample,28/08/2023 11:06,23,,,12173038,18.545062,3899818,1.27435,0.7628,-81.389999,0.615754,,3.457326,,1.231508,
Sample,28/08/2023 11:06,23,,,12173044,18.544993,3935797,1.286199,0.6204,-80.909996,0.498652,,3.59035,,0.997305,
